 ,Label,Area,Mean,Min,Max,Angle,Length(micrometer,Length(mm),Random num,Random
102,,762.812,1.091,0,75,1.637,800.326,0.800326,1.666838387,1.068763808
103,,1628.118,2.937,0,194,-50.881,1708.744,1.708744,0.471081348,1.107465707
104,,829.932,3.758,0,149,-27.35,870.657,0.870657,0.443170703,0.651723238
105,,696.599,2.107,0,106,-134.366,730.048,0.730048,0.620902834,1.544219547
106,,494.331,5.009,0,152,1.685,518.319,0.518319,1.530615411,0.949062721
107,,654.875,0.014,0,6.96,-62.582,686.655,0.686655,1.640156762,1.159207559
108,,857.143,1.179,0,143,-82.453,899.217,0.899217,0.523730973,0.078062812
109,,527.891,6.1,0,106,78.071,552.893,0.552893,0.590137692,0.872987761
110,,610.431,1.261,0,21,-12.381,639.637,0.639637,0.546091205,0.475805455
111,,802.721,3.651,0,162,-99.377,841.724,0.841724,1.361486419,1.007721729
112,,582.313,9.681,1,170,-76.657,610.773,0.610773,0.564526503,0.586926375
113,,926.984,7.005,1,141,-79.394,972.809,0.972809,0.55199843,0.709211494
114,,695.692,22.726,8.449,121,22.413,729.382,0.729382,0.816277347,1.243993933
115,,974.15,1.082,0,92,-92.99,1022.344,1.022344,1.456319178,0.743814617
116,,768.254,1.443,0,124,-98.973,806.054,0.806054,1.240368493,1.480990451
117,,1346.032,0.57,0,52,-83.028,1412.347,1.412347,1.502070433,0.691823362
118,,1617.234,0.1,0,27,-126.33,1697.599,1.697599,1.336628501,1.232133895
119,,1310.658,0.21,0,48,8.601,1375.47,1.37547,0.940051542,0.652682226
120,,1047.619,0.052,0,16,-79.819,1099.211,1.099211,1.260746435,0.972273846
121,Mean,858.655,2.028,0.087,80.268,-23.512,900.659,0.900659,1.207779644,0.925256239
122,SD,274.178,2.753,0.78,51.664,61.166,287.896,0.287896,0.485671003,0.514821562
123,Min,390.93,0,0,0,-134.366,409.767,0.409767,1.704145087,0.84149726
124,Max,1628.118,22.726,8.449,200,125.175,1708.744,1.708744,0.622805833,1.035933013
,,,,,,,,,1.500207081,1.343684233
,,,,,,,,,0.943580018,0.631416245
,,,,,,,,,0.417837035,0.913646258
,,,,,,,,,1.035161821,0.965636532
,,,,,,,,,0.669112129,1.132491381
,,,,,,,,,0.841055974,0.747049321
,,,,,,,,,0.954125801,1.265087754
,,,,,,,,,0.630497118,1.253882316
,,,,,,,,,1.693678595,0.937283854
,,,,,,,,,1.058077095,0.512320336
,,,,,,,,,0.450425885,0.538281761
,,,,,,,,,1.519078482,0.535247037
,,,,,,,,,1.435624069,1.031888242
,,,,,,,,,0.782419832,1.01117507
,,,,,,,,,1.496440729,1.378286374
,,,,,,,,,1.31954116,1.396875697
,,,,,,,,,0.620347793,1.398537071
,,,,,,,,,0.855249171,0.580997011
,,,,,,,,,0.960191609,1.232090692
,,,,,,,,,1.509206678,1.379336352
,,,,,,,,,1.032862364,0.044170257
,,,,,,,,,1.303801777,1.399720587
,,,,,,,,,1.450174078,0.853438795
,,,,,,,,,1.131778641,0.876923869
,,,,,,,,,1.173406733,1.468605425
,,,,,,,,,0.896203284,0.619451472
,,,,,,,,,1.121153566,0.799872573
,,,,,,,,,0.910555065,0.706040613
,,,,,,,,,0.968715457,0.759279535
,,,,,,,,,0.70792537,1.382971999
,,,,,,,,,1.324774406,0.476458091
,,,,,,,,,0.594300501,0.914880833
,,,,,,,,,0.802401316,0.894877575
,,,,,,,,,1.347174284,1.352300075
,,,,,,,,,0.80529546,0.232658318
,,,,,,,,,1.594048694,0.90130869
,,,,,,,,,1.562609573,0.968780901
,,,,,,,,,1.025607183,0.613971163
,,,,,,,,,1.650068213,1.156908605
,,,,,,,,,1.634249538,1.006566034
,,,,,,,,,1.363230834,1.084426742
,,,,,,,,,1.009947091,0.767398208
,,,,,,,,,0.892080121,0.969460376
,,,,,,,,,1.271569739,0.772671336
,,,,,,,,,0.833919729,0.545699685
,,,,,,,,,0.957059591,0.832514515
,,,,,,,,,0.768860968,0.781845878
,,,,,,,,,1.210277329,0.773594649
,,,,,,,,,0.942549227,1.038249314
,,,,,,,,,1.062200258,0.483817756
,,,,,,,,,1.142126195,1.123973075
,,,,,,,,,1.173644608,1.162720796
,,,,,,,,,1.347927554,0.790379895
,,,,,,,,,1.3168056,1.378548214
,,,,,,,,,0.586609215,1.019856044
,,,,,,,,,1.345033411,0.649088474
,,,,,,,,,1.434632924,0.939549424
,,,,,,,,,0.515405354,0.767055198
,,,,,,,,,0.831580627,1.140531829
,,,,,,,,,1.548535313,0.897652751
,,,,,,,,,1.634408121,0.571650636
,,,,,,,,,0.897828762,0.694934019
,,,,,,,,,0.791181554,1.209061874
,,,,,,,,,0.483014734,1.094669264
,,,,,,,,,0.690520863,0.883238792
,,,,,,,,,1.578903998,0.979543503
,,,,,,,,,0.84807328,0.6929388
,,,,,,,,,0.570949123,1.302727238
,,,,,,,,,0.759861371,1.107323331
,,,,,,,,,0.942628519,0.724044069
,,,,,,,,,1.030087158,1.375603824
,,,,,,,,,1.249883486,1.192785906
,,,,,,,,,0.419502159,0.705043003
,,,,,,,,,1.545561878,0.965907536
,,,,,,,,,0.752170085,1.46167976
,,,,,,,,,0.558500341,1.27543043
,,,,,,,,,0.464103686,0.858676902
,,,,,,,,,1.331712421,0.989493746
,,,,,,,,,0.651628331,1.239682739
,,,,,,,,,0.83570379,1.026389604
,,,,,,,,,1.261539351,0.692910652
,,,,,,,,,1.078455037,0.790071578
,,,,,,,,,1.198383589,0.692567641
,,,,,,,,,0.710145535,0.806240846
,,,,,,,,,0.963482211,1.013074064
,,,,,,,,,1.482287178,0.453264968
,,,,,,,,,1.206550624,0.994333856
,,,,,,,,,1.677423816,0.848073041
,,,,,,,,,0.620347793,0.816754372
,,,,,,,,,1.617955113,0.785266817
,,,,,,,,,1.321364867,1.097664712
,,,,,,,,,1.048799977,1.1661725
,,,,,,,,,0.81370037,1.117980869
,,,,,,,,,0.758909871,1.148093765
,,,,,,,,,1.317757099,0.862101767
,,,,,,,,,0.867737598,0.992570692
,,,,,,,,,1.051892349,0.810645648
,,,,,,,,,1.002295451,1.40887451
,,,,,,,,,1.481494262,0.498649021
,,,,,,,,,0.681045516,0.84908047
,,,,,,,,,0.832770001,1.134017253
,,,,,,,,,0.995753894,0.829793344
,,,,,,,,,0.805929793,0.689783629
,,,,,,,,,1.1623852,1.464201278
,,,,,,,,,0.627563329,1.25188055
,,,,,,,,,1.591907821,1.067459518
,,,,,,,,,0.976287805,0.271536304
